attack,mode,epsilon,asr,adversarial_accuracy,mean_score_before,mean_score_after,mean_linf_perturbation,n_samples
FGSM,dodge,0.01,0.5,0.5,0.6796809770166874,0.2731054957257584,0.01000000536441803,8
FGSM,dodge,0.02,0.625,0.375,0.6796809770166874,0.2580328043550253,0.02000001072883606,8
FGSM,dodge,0.04,0.75,0.25,0.6796809770166874,0.23011937364935875,0.04000001307576895,8
FGSM,dodge,0.08,0.75,0.25,0.6796809770166874,0.2051544818095863,0.07999999821186066,8
FGSM,impersonate,0.01,0.375,0.625,0.05083680304232985,0.26795155368745327,0.01000000536441803,8
FGSM,impersonate,0.02,0.125,0.875,0.05083680304232985,0.21148911397904158,0.02000001072883606,8
FGSM,impersonate,0.04,0.0,1.0,0.05083680304232985,0.14335649460554123,0.04000001307576895,8
FGSM,impersonate,0.08,0.0,1.0,0.05083680304232985,0.07828506804071367,0.07999999821186066,8
PGD,dodge,0.01,1.0,0.0,0.6796809770166874,-0.5977872908115387,0.01000000536441803,8
PGD,dodge,0.02,1.0,0.0,0.6796809770166874,-0.6396796330809593,0.02000001072883606,8
PGD,dodge,0.04,1.0,0.0,0.6796809770166874,-0.6695364117622375,0.0400000074878335,8
PGD,dodge,0.08,1.0,0.0,0.6796809770166874,-0.6686472147703171,0.07999999821186066,8
PGD,impersonate,0.01,1.0,0.0,0.05083680304232985,0.68841253221035,0.01000000536441803,8
PGD,impersonate,0.02,1.0,0.0,0.05083680304232985,0.6718840971589088,0.02000001072883606,8
PGD,impersonate,0.04,1.0,0.0,0.05083680304232985,0.6554782763123512,0.040000010281801224,8
PGD,impersonate,0.08,1.0,0.0,0.05083680304232985,0.6426595076918602,0.07999999821186066,8
