modalidad,eer,threshold_eer,far_en_eer,frr_en_eer,n_genuine,n_impostor
facial,0.0184426229508196,0.4201109229174793,0.0167364016736401,0.0184426229508196,488,478
voz,0.01,0.2960389852523803,0.01,0.01,200,200
