score,label
0.8786761164665222,1
0.7787737250328064,1
0.6359133124351501,1
0.8964024186134338,1
0.7327222228050232,1
0.8720910549163818,1
0.9140552282333374,1
0.7737889289855957,1
0.7533031105995178,1
0.8277232646942139,1
0.8081865906715393,1
0.8183634877204895,1
0.7759597897529602,1
0.6831161975860596,1
0.8269964456558228,1
0.8678224086761475,1
0.8202714323997498,1
0.6067312359809875,1
0.7428591847419739,1
0.6518915891647339,1
0.6481555700302124,1
0.7453421950340271,1
0.6059955954551697,1
0.7790564894676208,1
0.5584484934806824,1
0.6621453166007996,1
0.8734747767448425,1
0.7509236931800842,1
0.8412286639213562,1
0.8481695055961609,1
0.7907909154891968,1
0.8459630608558655,1
0.8770446181297302,1
0.6265490055084229,1
0.9003145098686218,1
0.7563279867172241,1
0.835240364074707,1
0.8726435899734497,1
0.9154691696166992,1
0.9290807843208313,1
0.85230553150177,1
0.5320793390274048,1
0.42857056856155396,1
0.7847898006439209,1
0.5426422953605652,1
0.6938318014144897,1
0.41847676038742065,1
0.8477396965026855,1
0.6595689058303833,1
0.60334312915802,1
0.8192857503890991,1
0.8247147798538208,1
0.6742191910743713,1
0.7012353539466858,1
0.6278664469718933,1
0.7489071488380432,1
0.823252260684967,1
0.8740606307983398,1
0.5544862747192383,1
0.09393874555826187,1
0.18598471581935883,1
0.8951730132102966,1
0.7821081876754761,1
0.5278478264808655,1
0.8462773561477661,1
0.7158288955688477,1
0.6309268474578857,1
0.8419399261474609,1
0.8419852256774902,1
0.7880096435546875,1
0.8706419467926025,1
0.8664237856864929,1
0.7953980565071106,1
0.7758485078811646,1
0.6558821201324463,1
0.777885913848877,1
0.68439120054245,1
0.7665235996246338,1
0.8157148361206055,1
0.8414647579193115,1
0.5054233074188232,1
0.7437433004379272,1
0.9242013692855835,1
0.7300044298171997,1
0.845431923866272,1
0.7502069473266602,1
0.8720759749412537,1
0.8114237785339355,1
0.7703801393508911,1
0.7300925254821777,1
0.660792350769043,1
0.7262570858001709,1
0.834472119808197,1
0.7928740382194519,1
0.9387677311897278,1
0.09035646170377731,1
0.8971073627471924,1
0.7398568987846375,1
0.738640546798706,1
0.5878800749778748,1
0.7976444363594055,1
0.890083909034729,1
0.5549650192260742,1
0.7089435458183289,1
0.8773658871650696,1
0.7808900475502014,1
0.7788282036781311,1
0.6740936040878296,1
0.6884039044380188,1
0.7634151577949524,1
0.746908962726593,1
0.7566232681274414,1
0.6403943300247192,1
0.551851212978363,1
0.6032177805900574,1
0.9327315092086792,1
0.7157555222511292,1
0.7567837834358215,1
0.7860540151596069,1
0.712873101234436,1
0.7483054399490356,1
0.680379331111908,1
0.8013266324996948,1
0.6603655815124512,1
0.519938051700592,1
0.6394444108009338,1
0.6147465109825134,1
0.8481413125991821,1
0.17351770401000977,1
0.5978823900222778,1
0.5496419072151184,1
0.7044086456298828,1
0.7334279417991638,1
0.6982166171073914,1
0.8695721626281738,1
0.9097505807876587,1
0.949748158454895,1
0.7852928638458252,1
0.6824448704719543,1
0.7155262231826782,1
0.8127440214157104,1
0.8315056562423706,1
0.7881356477737427,1
0.8974237442016602,1
0.5708780884742737,1
0.5357679128646851,1
0.7431415319442749,1
0.9036297798156738,1
0.7818818688392639,1
0.7393636107444763,1
0.7417315244674683,1
0.7011067271232605,1
0.7348084449768066,1
0.770630419254303,1
0.7956370711326599,1
0.7936212420463562,1
0.8565090894699097,1
0.7311751842498779,1
0.6841093897819519,1
0.7743697166442871,1
0.7087138891220093,1
0.812711775302887,1
0.7563111782073975,1
0.764812707901001,1
0.7543054223060608,1
0.8161728382110596,1
0.8249732851982117,1
0.7727124094963074,1
0.6911196708679199,1
0.7026093006134033,1
0.7671347260475159,1
0.8081015348434448,1
0.746864378452301,1
0.7360956072807312,1
0.38945794105529785,1
0.854925274848938,1
0.8337441086769104,1
0.7967618107795715,1
0.7330372929573059,1
0.7289150357246399,1
0.8206391334533691,1
0.8413952589035034,1
0.6057711839675903,1
0.5760113596916199,1
0.6656719446182251,1
0.6066358685493469,1
0.5574638843536377,1
0.7150121927261353,1
0.7943195700645447,1
0.75072181224823,1
0.6953770518302917,1
0.9039925336837769,1
0.41751110553741455,1
0.7326976656913757,1
0.8375203609466553,1
0.8500996232032776,1
0.6007931232452393,1
0.6066843271255493,1
0.7449859380722046,1
0.803662896156311,1
0.7214933633804321,1
0.806632399559021,1
0.6874480247497559,1
0.8415929675102234,1
0.709475040435791,1
0.7618401050567627,1
0.7137890458106995,1
0.909374475479126,1
0.749468982219696,1
0.5037686228752136,1
0.6029841303825378,1
0.7455677390098572,1
0.7461662888526917,1
0.6858583688735962,1
0.7252079248428345,1
0.6779601573944092,1
0.6828974485397339,1
0.7081012725830078,1
0.8783645629882812,1
0.7982492446899414,1
0.7613002061843872,1
0.8917800188064575,1
0.8492372035980225,1
0.7399377226829529,1
0.5862717032432556,1
0.8904579877853394,1
0.7917382717132568,1
0.41558244824409485,1
0.876107394695282,1
0.8402594923973083,1
